#T_hrs_F1  T_days_F1  avgN_F1    N_LB_F1    N_MB_F1    N_HB_F1    rech_F1      dis_F1
24.0       1.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385716
48.0       2.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385719
72.0       3.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385723
96.0       4.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385726
120.0      5.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385729
144.0      6.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385733
168.0      7.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385736
192.0      8.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385739
216.0      9.0        3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385742
240.0      10.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385745
264.0      11.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385749
288.0      12.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385752
312.0      13.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385755
336.0      14.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385758
360.0      15.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385761
384.0      16.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385764
408.0      17.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385768
432.0      18.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385771
456.0      19.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385774
480.0      20.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385777
504.0      21.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.00138578
528.0      22.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385783
552.0      23.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385787
576.0      24.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.00138579
600.0      25.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385793
624.0      26.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385796
648.0      27.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385799
672.0      28.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385802
696.0      29.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385805
720.0      30.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385808
744.0      31.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385812
768.0      32.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385815
792.0      33.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385818
816.0      34.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385821
840.0      35.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385824
864.0      36.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385827
888.0      37.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.00138583
912.0      38.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385833
936.0      39.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385836
960.0      40.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385839
984.0      41.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385842
1008.0     42.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385846
1032.0     43.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385849
1056.0     44.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385852
1080.0     45.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385855
1104.0     46.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385858
1128.0     47.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385861
1152.0     48.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385864
1176.0     49.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385867
1200.0     50.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.00138587
1224.0     51.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385873
1248.0     52.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385876
1272.0     53.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385879
1296.0     54.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385882
1320.0     55.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385885
1344.0     56.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385888
1368.0     57.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385891
1392.0     58.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385894
1416.0     59.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385897
1440.0     60.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.0013859
1464.0     61.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385903
1488.0     62.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385906
1512.0     63.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385909
1536.0     64.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385912
1560.0     65.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385915
1584.0     66.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385918
1608.0     67.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385922
1632.0     68.0       3953585.0  1788080.0  4168586.0  5550732.0  0.001330206  0.001385925
